VFAT    Elink    Bitslip
0    0    7
0    1    7
0    2    7
0    3    7
0    4    7
0    5    7
0    6    7
0    7    7
1    0    7
1    1    7
1    2    7
1    3    7
1    4    7
1    5    7
1    6    7
1    7    7
2    0    7
2    1    7
2    2    7
2    3    7
2    4    7
2    5    7
2    6    7
2    7    7
3    0    7
3    1    7
3    2    7
3    3    7
3    4    7
3    5    7
3    6    7
3    7    7
4    0    7
4    1    7
4    2    7
4    3    7
4    4    7
4    5    7
4    6    7
4    7    7
5    0    7
5    1    7
5    2    7
5    3    7
5    4    7
5    5    7
5    6    7
5    7    7
6    0    7
6    1    7
6    2    7
6    3    7
6    4    7
6    5    7
6    6    7
6    7    7
7    0    7
7    1    7
7    2    7
7    3    7
7    4    7
7    5    7
7    6    7
7    7    7
8    0    7
8    1    7
8    2    7
8    3    7
8    4    7
8    5    7
8    6    7
8    7    7
9    0    5
9    1    5
9    2    5
9    3    5
9    4    5
9    5    5
9    6    5
9    7    5
10    0    7
10    1    7
10    2    7
10    3    7
10    4    7
10    5    7
10    6    7
10    7    7
11    0    5
11    1    5
11    2    5
11    3    5
11    4    5
11    5    5
11    6    5
11    7    5
12    0    7
12    1    7
12    2    7
12    3    7
12    4    7
12    5    7
12    6    7
12    7    7
13    0    4
13    1    4
13    2    4
13    3    4
13    4    4
13    5    4
13    6    4
13    7    4
14    0    7
14    1    7
14    2    7
14    3    7
14    4    7
14    5    7
14    6    7
14    7    7
15    0    4
15    1    4
15    2    4
15    3    4
15    4    4
15    5    4
15    6    4
15    7    4
16    0    5
16    1    5
16    2    5
16    3    5
16    4    5
16    5    5
16    6    5
16    7    5
17    0    5
17    1    5
17    2    5
17    3    5
17    4    5
17    5    5
17    6    5
17    7    5
18    0    5
18    1    5
18    2    5
18    3    5
18    4    5
18    5    5
18    6    5
18    7    5
19    0    5
19    1    5
19    2    5
19    3    5
19    4    5
19    5    5
19    6    5
19    7    5
20    0    5
20    1    5
20    2    5
20    3    5
20    4    5
20    5    5
20    6    5
20    7    5
21    0    4
21    1    4
21    2    4
21    3    4
21    4    4
21    5    4
21    6    4
21    7    4
22    0    4
22    1    4
22    2    4
22    3    4
22    4    4
22    5    4
22    6    4
22    7    4
23    0    4
23    1    4
23    2    4
23    3    4
23    4    4
23    5    4
23    6    4
23    7    4
